messageid,severity,severityid,module_dll,module_name,description
500,informational,1073741824,climsgs.dll,SMS Client,This component started.
500,informational,1073741824,provmsgs.dll,SMS Provider,This component started.
500,informational,1073741824,srvmsgs.dll,SMS Server,This component started.
501,informational,1073741824,climsgs.dll,SMS Client,"This component was signalled to stop by an administrator or the operating system. The component will complete any processing it is doing and stop at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to stop."
501,informational,1073741824,provmsgs.dll,SMS Provider,"This component was signalled to stop by an administrator or the operating system. The component will complete any processing it is doing and stop at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to stop."
501,informational,1073741824,srvmsgs.dll,SMS Server,"This component was signalled to stop by an administrator or the operating system. The component will complete any processing it is doing and stop at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to stop."
502,informational,1073741824,climsgs.dll,SMS Client,This component stopped.
502,informational,1073741824,provmsgs.dll,SMS Provider,This component stopped.
502,informational,1073741824,srvmsgs.dll,SMS Server,This component stopped.
503,informational,1073741824,climsgs.dll,SMS Client,"This component was signalled to pause by an administrator. The component will complete any processing it is doing and pause at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to pause. Once the component has paused, it will not do any more processing until the administrator signals it to resume processing."
503,informational,1073741824,provmsgs.dll,SMS Provider,"This component was signalled to pause by an administrator. The component will complete any processing it is doing and pause at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to pause. Once the component has paused, it will not do any more processing until the administrator signals it to resume processing."
503,informational,1073741824,srvmsgs.dll,SMS Server,"This component was signalled to pause by an administrator. The component will complete any processing it is doing and pause at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to pause. Once the component has paused, it will not do any more processing until the administrator signals it to resume processing."
504,informational,1073741824,climsgs.dll,SMS Client,This component was signalled to resume processing by an administrator.
504,informational,1073741824,provmsgs.dll,SMS Provider,This component was signalled to resume processing by an administrator.
504,informational,1073741824,srvmsgs.dll,SMS Server,This component was signalled to resume processing by an administrator.
505,error,-1073741824,climsgs.dll,SMS Client,Server $string1$ is unreachable or down.$string2$$string3$$string4$$string5$$string6$$string7$$string8$$string9$$string10$
